2025-10-21 01:42:29 status half-configured librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b5
2025-10-21 01:42:29 status installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2+b5
2025-10-21 01:42:29 configure gnupg:all 2.4.7-21 <none>
2025-10-21 01:42:29 status unpacked gnupg:all 2.4.7-21
2025-10-21 01:42:29 status half-configured gnupg:all 2.4.7-21
2025-10-21 01:42:29 status installed gnupg:all 2.4.7-21
2025-10-21 01:42:29 configure wget:amd64 1.25.0-2 <none>
2025-10-21 01:42:29 status unpacked wget:amd64 1.25.0-2
2025-10-21 01:42:29 status half-configured wget:amd64 1.25.0-2
2025-10-21 01:42:29 status installed wget:amd64 1.25.0-2
2025-10-21 01:42:29 configure libcurl4t64:amd64 8.14.1-2 <none>
2025-10-21 01:42:29 status unpacked libcurl4t64:amd64 8.14.1-2
2025-10-21 01:42:29 status half-configured libcurl4t64:amd64 8.14.1-2
2025-10-21 01:42:29 status installed libcurl4t64:amd64 8.14.1-2
2025-10-21 01:42:29 configure curl:amd64 8.14.1-2 <none>
2025-10-21 01:42:29 status unpacked curl:amd64 8.14.1-2
2025-10-21 01:42:29 status half-configured curl:amd64 8.14.1-2
2025-10-21 01:42:29 status installed curl:amd64 8.14.1-2
2025-10-21 01:42:29 trigproc libc-bin:amd64 2.41-12 <none>
2025-10-21 01:42:29 status half-configured libc-bin:amd64 2.41-12
2025-10-21 01:42:29 status installed libc-bin:amd64 2.41-12
2025-10-21 01:42:29 trigproc ca-certificates:all 20250419 <none>
2025-10-21 01:42:29 status half-configured ca-certificates:all 20250419
2025-10-21 01:42:29 status installed ca-certificates:all 20250419
